"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3468","test_proceed_to_checkout","tests.cart","2026-07-06","passed","2026-07-06","","test_proceed_to_checkout","",""
"","544","test_view_products","tests.products","2026-07-06","passed","2026-07-06","","test_view_products","",""
"","2395","test_full_checkout","tests.checkout","2026-07-06","passed","2026-07-06","","test_full_checkout","",""
"","726","test_remove_from_cart","tests.products","2026-07-06","passed","2026-07-06","","test_remove_from_cart","",""
"","1811","test_add_to_cart","tests.products","2026-07-06","passed","2026-07-06","","test_add_to_cart","",""
"","1120","test_login_with_various_credentials[invalid_user-wrong_pass-error message]","tests.login","2026-07-06","passed","2026-07-06","","test_login_with_various_credentials","",""
"","1108","test_login_with_various_credentials[locked_out-secret_sauce-error message]","tests.login","2026-07-06","passed","2026-07-06","","test_login_with_various_credentials","",""
"","3625","test_cancel_checkout","tests.checkout","2026-07-06","passed","2026-07-06","","test_cancel_checkout","",""
"","1360","test_successful_login","tests.login","2026-07-06","passed","2026-07-06","","test_successful_login","",""
"","2023","test_view_cart","tests.cart","2026-07-06","passed","2026-07-06","","test_view_cart","",""
"","1678","test_login_with_various_credentials[--validation error]","tests.login","2026-07-06","passed","2026-07-06","","test_login_with_various_credentials","",""
"","1880","test_login_with_various_credentials[standard_user-secret_sauce-products page]","tests.login","2026-07-06","passed","2026-07-06","","test_login_with_various_credentials","",""
